mes,cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
2026-08,Jaraguá do Sul,Vila Nova,apartamento,venda,7704.8,6090.7,11091.2,166,4.87,agosto/2026
2026-08,Jaraguá do Sul,Vila Nova,apartamento,aluguel,31.3,26.8,36.1,44,4.87,agosto/2026
2026-08,Jaraguá do Sul,Água Verde,casa,venda,5481.8,3876.7,7429.2,47,5.25,agosto/2026
2026-08,Jaraguá do Sul,Água Verde,casa,aluguel,24.0,24.0,24.7,5,5.25,agosto/2026
2026-08,Jaraguá do Sul,Amizade,casa,venda,6170.8,5113.8,7655.5,200,6.05,agosto/2026
2026-08,Jaraguá do Sul,Amizade,casa,aluguel,31.1,26.7,38.1,14,6.05,agosto/2026
2026-08,Jaraguá do Sul,Baependi,casa,venda,6556.4,5134.1,8647.7,32,5.91,agosto/2026
2026-08,Jaraguá do Sul,Baependi,casa,aluguel,32.3,23.5,43.6,10,5.91,agosto/2026
2026-08,Jaraguá do Sul,Barra do Rio Cerro,casa,venda,5924.0,4463.8,7301.1,122,6.22,agosto/2026
2026-08,Jaraguá do Sul,Barra do Rio Cerro,casa,aluguel,30.7,23.4,39.4,30,6.22,agosto/2026
2026-08,Jaraguá do Sul,Barra do Rio Molha,casa,venda,5130.6,3031.2,8099.0,16,6.48,agosto/2026
2026-08,Jaraguá do Sul,Barra do Rio Molha,casa,aluguel,27.7,27.3,30.4,8,6.48,agosto/2026
2026-08,Jaraguá do Sul,Braço do Ribeirão Cavalo,casa,venda,4266.7,4133.8,5268.0,7,,agosto/2026
2026-08,Jaraguá do Sul,Centro,casa,venda,6557.4,5025.0,9175.8,99,6.26,agosto/2026
2026-08,Jaraguá do Sul,Centro,casa,aluguel,34.2,24.8,46.9,26,6.26,agosto/2026
2026-08,Jaraguá do Sul,Chico de Paula,casa,venda,5285.7,3755.5,7348.0,79,6.24,agosto/2026
2026-08,Jaraguá do Sul,Chico de Paula,casa,aluguel,27.5,16.4,45.5,5,6.24,agosto/2026
2026-08,Jaraguá do Sul,Czerniewicz,casa,venda,5456.9,4129.6,6485.2,68,6.44,agosto/2026
2026-08,Jaraguá do Sul,Czerniewicz,casa,aluguel,29.3,26.6,36.8,12,6.44,agosto/2026
2026-08,Jaraguá do Sul,Estrada Nova,casa,venda,5158.4,4551.4,6310.1,57,,agosto/2026
